date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:03	305563/305563	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20May%202022%2008:21:02%20GMT	https://looksrare.org/	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/index.html	(from )
16:21:03	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2010%20May%202022%2008:21:02%20GMT	https://looksrare.org/robots.txt		(from )
16:21:04	404560/404560	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2008:21:03%20GMT	https://looksrare.org/images/meta-2.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/images/meta-2.png	(from https://looksrare.org/)
16:21:04	4028/4028	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2008:21:04%20GMT	https://looksrare.org/apple-touch-icon.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/apple-touch-icon.png	(from https://looksrare.org/)
16:21:05	1197/1197	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2008:21:05%20GMT	https://looksrare.org/favicon-32x32.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/favicon-32x32.png	(from https://looksrare.org/)
16:21:06	789/789	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2008:21:06%20GMT	https://looksrare.org/favicon-16x16.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/favicon-16x16.png	(from https://looksrare.org/)
16:21:07	334/334	---MCZ	200	added ('OK')	application/json	date:Tue,%2010%20May%202022%2008:21:07%20GMT	https://looksrare.org/manifest.json	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/manifest.json	(from https://looksrare.org/)
16:21:08	14327/14327	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2008:21:08%20GMT	https://looksrare.org/_next/static/css/898dd38ee45185d1.css	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/_next/static/css/898dd38ee45185d1.css	(from https://looksrare.org/)
16:21:09	5524/5524	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2008:21:09%20GMT	https://looksrare.org/_next/static/css/304900cd53b5f91e.css	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/_next/static/css/304900cd53b5f91e.css	(from https://looksrare.org/)
16:21:11	91434/91434	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2008:21:10%20GMT	https://looksrare.org/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/FirstTry/looksrare.org/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://looksrare.org/)
